City,Precipitation,Happiness Score
"Pittsburgh, PA",79.83333333333333,58.14
"Tampa, FL",97.08333333333333,57.94
"West Valley City, UT",33.75,57.67
"Sacramento, CA",37.5,57.49
"Huntsville, AL",117.33333333333333,57.32
"Cheyenne, WY",31.75,57.03
"Dover, DE",89.58333333333333,56.91
"Henderson, NV",9.583333333333334,56.32
"Glendale, AZ",15.25,56.27
"Bridgeport, CT",95.25,56.2
"Nashville, TN",101.16666666666667,56.2
"South Burlington, VT",72.16666666666667,56.1
"Anchorage, AK",34.166666666666664,55.98
"Salem, OR",86.5,55.84
"San Antonio, TX",57.75,55.62
"Houston, TX",96.33333333333333,55.56
"Winston-Salem, NC",94.91666666666667,55.55
"Chicago, IL",76.08333333333333,55.29
"Tacoma, WA",86.83333333333333,54.59
"St. Petersburg, FL",103.5,54.56
"Fort Wayne, IN",76.5,54.32
"Amarillo, TX",40.916666666666664,54.23
"Lexington-Fayette, KY",96.5,54.14
"Phoenix, AZ",17.666666666666668,54.13
"Bakersfield, CA",13.916666666666666,54.07
"Laredo, TX",35.916666666666664,53.94
"Worcester, MA",97.66666666666667,53.9
"Tucson, AZ",25,53.82
"Columbia, SC",99,53.8
"Greensboro, NC",94.16666666666667,53.78
"Warwick, RI",98.5,53.65
"Richmond, VA",90.66666666666667,53.28
"Lubbock, TX",39.333333333333336,52.98
"Springfield, MO",90.58333333333333,52.83
"San Bernardino, CA",24.75,52.49
"Casper, WY",25.416666666666668,52.41
"Albuquerque, NM",18.25,52.05
"Corpus Christi, TX",66.41666666666667,51.98
"Chattanooga, TN",115.58333333333333,51.8
"Jacksonville, FL",105.25,51.7
"Newport News, VA",94,51.4
"Columbus, OH",78.91666666666667,51.31
"Knoxville, TN",106.16666666666667,51.13
"Rochester, NY",67.75,50.84
"Fresno, CA",22.666666666666668,50.82
"Spokane, WA",38.083333333333336,50.78
"Oklahoma City, OK",70.41666666666667,50.61
"Fort Smith, AR",95.58333333333333,50.55
"Fayetteville, NC",98.91666666666667,50.53
"Wichita, KS",65.41666666666667,50.43
"Norfolk, VA",93.41666666666667,50.24
"Providence, RI",99.41666666666667,50.22
"Stockton, CA",37.416666666666664,49.99
"New Haven, CT",94.41666666666667,49.72
"North Las Vegas, NV",8,49.63
"Buffalo, NY",81.16666666666667,49.37
"Juneau, AK",147.83333333333334,49.3
"Kansas City, MO",80.33333333333333,49.26
"Las Vegas, NV",8.5,48.96
"Indianapolis, IN",84.16666666666667,48.95
"Louisville, KY",93.58333333333333,48.35
"Milwaukee, WI",67.75,48.19
"New Orleans, LA",64.66666666666667,47.64
"Wilmington, DE",91.33333333333333,47.36
"Montgomery, AL",109.5,46.79
"Baltimore, MD",90.5,46.76
"Jackson, MS",108.91666666666667,46.64
"Baton Rouge, LA",126.5,46.62
"Philadelphia, PA",92.58333333333333,46.23
"Shreveport, LA",99.58333333333333,45.6
"Columbus, GA",100.91666666666667,45.24
"Cincinnati, OH",87.33333333333333,44.79
"Newark, NJ",99,44.15
"Tulsa, OK",82.33333333333333,44.14
"Akron, OH",79.25,43.54
"St. Louis, MO",79.66666666666667,43.44
"Memphis, TN",106.5,43.42
"Mobile, AL",132.16666666666666,42.15
"Little Rock, AR",105,42.15
"Augusta, GA",95.91666666666667,42.02
"Birmingham, AL",117.33333333333333,41.43
"Gulfport, MS",132.83333333333334,41.42
"Cleveland, OH",76.91666666666667,39.36
"Huntington, WV",90,39.09
"Toledo, OH",69.91666666666667,37.99
"Charleston, WV",92.08333333333333,36.21
"Detroit, MI",68.66666666666667,29.06
